2012-10-01 13:55:40,308 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-01 13:55:40,948 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-2
2012-10-01 13:55:40,976 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-01 14:10:21,685 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616 , attempting to automatically reconnect due to: java.io.EOFException | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2012-10-01 14:10:21,693 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616 , attempting to automatically reconnect due to: java.io.EOFException | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2012-10-01 14:10:21,703 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616 , attempting to automatically reconnect due to: java.io.EOFException | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2012-10-01 14:10:21,963 | INFO  | Clazz: class net.blogracy.model.users.UserImpl loaded by WebAppClassLoader=14460880@dca7d0 | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-01 14:10:21,964 | INFO  | removed | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-01 14:10:21,964 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-01 14:20:02,731 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-01 14:20:03,245 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-2
2012-10-01 14:20:03,284 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-01 14:22:19,969 | INFO  | Clazz: class net.blogracy.model.users.UserImpl loaded by WebAppClassLoader=5192610@4f3ba2 | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-01 14:22:19,977 | INFO  | removed | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-01 14:22:19,982 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-01 14:23:31,203 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-01 14:23:31,955 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-2
2012-10-01 14:23:32,003 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-01 14:38:31,575 | INFO  | Clazz: class net.blogracy.model.users.UserImpl loaded by WebAppClassLoader=5192610@4f3ba2 | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-01 14:38:31,575 | INFO  | removed | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-01 14:38:31,576 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-19 13:15:50,086 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-19 13:16:39,024 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-19 13:16:39,576 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-2
2012-10-19 13:16:39,608 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-19 13:19:27,447 | INFO  | Clazz: class net.blogracy.model.users.UserImpl loaded by WebAppClassLoader=5192610@4f3ba2 | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-19 13:19:27,448 | INFO  | removed | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-19 13:19:27,448 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 10:04:24,083 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 10:05:35,962 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 10:07:19,164 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 10:08:56,895 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-23 10:08:57,617 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-2
2012-10-23 10:08:57,639 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-23 10:10:46,706 | INFO  | Clazz: class net.blogracy.model.users.UserImpl loaded by WebAppClassLoader=3475648@3508c0 | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 10:10:46,707 | INFO  | removed | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 10:10:46,707 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 10:58:13,989 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-23 10:58:14,969 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-2
2012-10-23 10:58:15,018 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-23 10:58:31,691 | INFO  | Clazz: class net.blogracy.model.users.UserImpl loaded by WebAppClassLoader=5192610@4f3ba2 | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 10:58:31,693 | INFO  | removed | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 10:58:31,694 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 11:31:34,234 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-23 11:31:34,685 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-2
2012-10-23 11:42:38,847 | INFO  | Clazz: class net.blogracy.model.users.UserImpl loaded by WebAppClassLoader=15270039@e90097 | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 11:42:38,849 | INFO  | removed | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 11:42:38,849 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 11:45:01,527 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-23 11:45:01,989 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-2
2012-10-23 11:46:31,386 | INFO  | Clazz: class net.blogracy.model.users.UserImpl loaded by WebAppClassLoader=5192610@4f3ba2 | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 11:46:31,390 | INFO  | removed | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 11:46:31,392 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 11:47:06,225 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-23 11:47:06,363 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-2
2012-10-23 11:47:06,979 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-23 11:49:03,023 | INFO  | Clazz: class net.blogracy.model.users.UserImpl loaded by WebAppClassLoader=5192610@4f3ba2 | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 11:49:03,024 | INFO  | removed | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 11:49:03,024 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 11:49:32,843 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-23 11:49:32,940 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-2
2012-10-23 11:49:33,400 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-23 11:53:04,803 | INFO  | Clazz: class net.blogracy.model.users.UserImpl loaded by WebAppClassLoader=11051796@a8a314 | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 11:53:04,803 | INFO  | removed | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 11:53:04,804 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 11:53:34,146 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-23 11:53:34,241 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-2
